"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000177350.6",1,1,0,0,1,1,0,1
"ENSG00000177352.9",342,249,417,169,407,479,296,281
"ENSG00000177354.11",1,3,3,3,1,3,0,0
"ENSG00000177359.18",6,1,0,0,1,0,1,2
"ENSG00000177363.4",3394,2631,4094,2342,3625,3603,3554,3747
"ENSG00000177369.8",3,3,3,0,1,7,0,3
"ENSG00000177370.4",342,329,412,213,477,570,256,255
"ENSG00000177374.12",816,812,1097,559,811,816,988,946
"ENSG00000177380.13",43,27,44,15,39,44,37,13
"ENSG00000177383.4",528,411,590,242,516,548,458,373
"ENSG00000177406.4",103,85,157,71,157,138,165,138
"ENSG00000177409.11",958,564,1315,512,1186,913,794,572
"ENSG00000177410.12",3952,4672,3187,1218,2183,2028,1637,1529
"ENSG00000177418.2",0,1,0,0,0,2,0,1
"ENSG00000177425.10",314,301,317,441,475,1045,333,760
"ENSG00000177426.20",726,931,857,898,924,2209,604,1394
"ENSG00000177427.12",201,128,177,98,162,176,203,168
"ENSG00000177432.6",132,88,195,84,229,167,144,90
"ENSG00000177453.7",94,55,80,10,92,90,80,18
"ENSG00000177455.12",2,0,6,7,1,2,4,1
"ENSG00000177459.10",21,9,40,14,21,27,26,13
"ENSG00000177462.7",1,0,0,0,1,0,1,0
"ENSG00000177463.15",1505,1070,1549,929,1713,2000,1403,1448
"ENSG00000177464.4",29,16,34,24,29,23,36,32
"ENSG00000177465.4",5,25,8,4,3,4,6,14
"ENSG00000177469.12",14176,18017,20275,17219,14724,33828,15960,23683
"ENSG00000177479.19",1439,1391,1818,1043,1818,2159,1412,1378
"ENSG00000177483.11",15,15,14,8,10,24,13,8
"ENSG00000177485.6",542,511,475,311,564,593,428,485
"ENSG00000177494.5",3,4,1,3,3,2,3,1
"ENSG00000177508.11",6,1,3,2,7,0,0,1
"ENSG00000177519.3",0,0,0,0,0,0,2,3
"ENSG00000177535.8",7,3,8,1,4,9,4,6
"ENSG00000177542.10",250,247,238,178,236,376,302,309
"ENSG00000177548.12",478,372,474,227,444,545,417,415
"ENSG00000177551.5",0,2,1,0,2,0,0,0
"ENSG00000177553.6",5,3,2,0,3,3,4,1
"ENSG00000177556.11",622,521,845,481,870,980,603,555
"ENSG00000177565.16",2385,1790,3140,1574,3135,3145,2525,1814
"ENSG00000177570.13",127,24,269,47,121,53,175,30
"ENSG00000177575.12",9,13,6,13,12,62,4,14
"ENSG00000177576.11",586,501,471,301,423,504,448,387
"ENSG00000177595.17",838,428,699,153,716,664,496,344
"ENSG00000177596.1",0,4,0,0,3,4,5,3
"ENSG00000177599.12",44,22,51,16,26,34,35,21
"ENSG00000177600.8",8363,8175,7185,4223,6078,8043,5439,5803
"ENSG00000177602.5",14,8,12,14,12,16,15,24
"ENSG00000177606.6",5107,3369,3876,786,5745,2512,3981,1462
"ENSG00000177613.8",850,792,940,561,693,1050,679,719
"ENSG00000177614.10",292,39,210,26,342,103,203,21
"ENSG00000177627.9",0,0,0,1,0,0,1,0
"ENSG00000177628.15",2984,1977,3627,1726,3450,3389,2759,2482
"ENSG00000177640.15",46,37,61,39,32,46,57,45
"ENSG00000177646.18",616,515,691,334,626,799,497,483
"ENSG00000177663.13",692,803,1027,776,1010,1740,642,981
"ENSG00000177666.16",1745,3204,2057,2168,2006,4916,1453,3658
"ENSG00000177669.3",1,1,1,0,4,2,2,0
"ENSG00000177674.15",504,873,665,793,465,1247,439,1054
"ENSG00000177675.8",2,6,1,1,7,14,1,2
"ENSG00000177679.15",52,43,52,30,28,30,78,66
"ENSG00000177683.13",347,291,428,263,454,458,398,350
"ENSG00000177685.16",12,13,32,11,12,8,31,19
"ENSG00000177688.6",2,1,1,0,1,0,0,0
"ENSG00000177689.10",1,2,6,1,0,2,0,0
"ENSG00000177692.11",28,16,25,22,33,30,27,10
"ENSG00000177694.15",308,155,399,170,380,484,403,266
"ENSG00000177697.17",8356,8103,11903,7096,12619,16798,8661,9610
"ENSG00000177699.4",1,0,0,1,0,0,0,0
"ENSG00000177700.5",2277,2300,2751,1492,2563,3703,1851,2062
"ENSG00000177706.8",1219,1450,1617,1648,1437,5129,1301,2285
"ENSG00000177707.10",853,849,1083,733,1561,2179,754,945
"ENSG00000177710.5",1,0,6,2,3,4,2,5
"ENSG00000177721.4",18,22,22,12,22,17,27,24
"ENSG00000177725.5",2,0,0,3,2,4,0,1
"ENSG00000177728.16",1187,1043,1294,723,1559,1744,1055,1140
"ENSG00000177731.15",3844,3772,4219,2390,4312,6321,3235,3969
"ENSG00000177732.8",923,715,696,242,894,623,638,427
"ENSG00000177733.6",2846,2432,2760,1561,2556,3286,2429,2132
"ENSG00000177736.4",0,0,0,0,1,0,1,0
"ENSG00000177738.3",57,49,56,35,37,68,53,52
"ENSG00000177752.14",0,1,0,0,2,0,0,0
"ENSG00000177757.2",3,4,8,1,6,7,1,4
"ENSG00000177788.5",8,4,12,3,7,11,6,7
"ENSG00000177791.11",1,4,4,1,0,0,0,3
"ENSG00000177800.2",5,0,3,3,4,1,2,3
"ENSG00000177807.8",0,2,7,0,6,4,4,5
"ENSG00000177822.7",3,2,2,0,4,9,1,4
"ENSG00000177830.17",1860,1332,1979,935,2253,2624,1504,1551
"ENSG00000177839.6",45,30,83,44,86,94,28,36
"ENSG00000177842.11",18,11,26,9,15,37,15,21
"ENSG00000177853.14",355,281,559,287,452,481,301,312
"ENSG00000177854.7",88,86,108,78,114,171,117,161
"ENSG00000177868.11",362,296,432,194,410,339,301,235
"ENSG00000177873.12",99,90,140,74,125,165,116,129
"ENSG00000177875.4",24,44,17,10,15,32,12,35
"ENSG00000177879.15",2216,2076,2652,1804,2725,3050,2092,2284
"ENSG00000177885.13",1973,1667,2118,1234,2101,2865,1593,1764
"ENSG00000177888.7",585,458,612,450,653,723,552,558
"ENSG00000177889.9",945,955,947,644,954,1535,659,877
"ENSG00000177917.10",332,341,323,257,312,415,282,354
"ENSG00000177932.6",271,229,398,179,396,456,303,289
"ENSG00000177943.13",85,67,75,25,75,128,41,32
"ENSG00000177946.5",326,234,315,138,335,323,245,228
"ENSG00000177947.13",0,1,0,1,0,1,0,0
"ENSG00000177951.17",1556,1193,1583,738,1523,1585,1284,1139
"ENSG00000177954.11",14564,13631,16586,7796,15029,15893,11477,10918
"ENSG00000177963.14",2196,1969,2272,1264,2196,2725,1561,1727
"ENSG00000177971.8",573,604,508,309,477,839,497,497
"ENSG00000177981.10",586,465,702,359,657,559,565,492
"ENSG00000177984.6",7,7,7,2,9,9,7,7
"ENSG00000177989.13",38,51,29,17,45,84,27,52
"ENSG00000177990.11",106,74,73,58,114,150,116,85
"ENSG00000177993.3",2,3,4,0,2,4,1,5
"ENSG00000177994.15",1,0,5,1,1,0,2,0
"ENSG00000178015.4",4,13,8,44,10,43,5,47
"ENSG00000178021.10",0,0,1,0,2,0,0,0
"ENSG00000178026.12",171,130,244,101,217,143,159,153
"ENSG00000178028.13",445,290,604,241,677,608,425,298
"ENSG00000178031.16",1312,586,3252,886,1463,507,2489,1507
"ENSG00000178033.5",691,561,701,549,833,1505,697,811
"ENSG00000178035.11",4351,3694,3654,1698,3740,3423,2767,2495
"ENSG00000178038.16",37,15,56,10,70,46,45,26
"ENSG00000178053.17",214,90,247,97,135,121,213,128
"ENSG00000178055.11",0,1,1,0,0,0,0,0
"ENSG00000178057.14",772,584,1019,450,1003,1236,733,664
"ENSG00000178074.5",455,433,478,363,389,549,432,408
"ENSG00000178075.19",22,22,36,29,54,53,22,26
"ENSG00000178078.11",36,25,71,26,49,39,35,33
"ENSG00000178081.12",11,10,10,12,0,2,4,4
"ENSG00000178082.6",0,0,0,0,3,0,0,0
"ENSG00000178093.13",38,30,55,26,33,55,37,49
"ENSG00000178096.8",145,99,167,70,106,148,150,116
"ENSG00000178104.19",5908,4608,7391,4330,7729,7781,7680,7599
"ENSG00000178105.9",253,288,270,181,326,475,219,253
"ENSG00000178115.11",24,4,22,8,46,29,3,3
"ENSG00000178125.14",4,1,7,0,5,2,6,5
"ENSG00000178127.12",820,844,865,641,1048,1266,625,734
"ENSG00000178149.16",501,440,507,238,476,539,396,397
"ENSG00000178150.9",7,3,3,1,5,4,2,1
"ENSG00000178162.8",9,11,13,6,5,7,5,3
"ENSG00000178163.7",511,441,600,294,434,472,484,452
"ENSG00000178171.10",0,0,0,1,3,0,2,2
"ENSG00000178175.11",4,0,3,1,1,5,0,1
"ENSG00000178177.15",210,216,251,136,381,332,183,250
"ENSG00000178184.15",160,57,71,32,95,65,86,23
"ENSG00000178187.7",17,6,26,10,16,15,18,12
"ENSG00000178188.14",1089,1034,1119,574,1011,1121,851,918
"ENSG00000178193.5",1,1,2,0,5,5,2,1
"ENSG00000178199.13",3,7,9,3,12,13,7,1
"ENSG00000178201.4",11,10,29,14,33,24,10,14
"ENSG00000178202.12",2865,2355,2824,1778,1495,1981,2248,2487
"ENSG00000178209.14",14564,20919,22450,18747,10605,27311,15484,33711
"ENSG00000178222.12",25,17,80,48,131,142,13,18
"ENSG00000178226.10",5,6,5,2,2,5,3,5
"ENSG00000178229.7",68,56,79,38,71,86,52,56
"ENSG00000178233.17",2,4,3,2,2,1,3,0
"ENSG00000178234.12",1065,1129,1312,812,1375,2006,967,1155
"ENSG00000178235.7",0,1,9,7,2,10,2,4
"ENSG00000178252.17",3627,2614,3303,1564,3538,3290,2790,2301
"ENSG00000178295.14",153,151,238,115,203,232,145,144
"ENSG00000178297.12",33,23,26,11,22,23,21,14
"ENSG00000178301.3",142,77,96,25,103,80,127,52
"ENSG00000178307.9",304,411,405,259,406,699,334,414
"ENSG00000178338.10",151,153,166,111,192,215,187,169
"ENSG00000178342.4",16,32,9,5,4,35,10,19
"ENSG00000178343.4",18,8,48,9,34,42,43,22
"ENSG00000178381.11",157,157,243,141,180,234,155,168
"ENSG00000178385.14",515,426,650,392,643,782,444,633
"ENSG00000178386.12",58,69,100,32,116,123,80,72
"ENSG00000178397.12",286,231,321,176,343,347,250,222
"ENSG00000178401.14",58,31,75,24,86,59,47,26
"ENSG00000178404.9",10,5,13,1,9,12,6,6
"ENSG00000178409.13",49,55,66,41,77,92,53,51
"ENSG00000178412.4",0,1,0,0,0,1,0,0
"ENSG00000178425.13",671,343,780,276,799,605,518,331
"ENSG00000178429.9",2,3,2,0,6,6,0,0
"ENSG00000178440.5",6,5,9,2,9,5,5,7
"ENSG00000178445.9",2,4,10,2,8,7,8,6
"ENSG00000178449.8",276,323,331,285,328,450,282,329
"ENSG00000178457.3",2,2,0,0,1,1,0,0
"ENSG00000178458.5",0,2,0,0,0,2,0,0
"ENSG00000178460.17",20,20,38,15,22,14,9,10
"ENSG00000178464.6",12,8,5,1,3,1,4,3
"ENSG00000178467.17",510,496,567,368,445,580,485,613
"ENSG00000178498.15",510,429,473,213,461,364,420,352
"ENSG00000178502.5",69,50,66,30,83,88,74,79
"ENSG00000178531.5",64,30,79,29,68,85,94,61
"ENSG00000178537.9",305,303,381,244,513,438,330,293
"ENSG00000178562.17",3,3,3,4,4,2,2,1
"ENSG00000178567.7",763,574,912,412,956,931,708,579
"ENSG00000178568.14",1,0,5,4,0,3,2,4
"ENSG00000178573.6",2149,1309,1916,623,1508,937,1800,1315
"ENSG00000178585.14",275,211,260,185,280,331,270,286
"ENSG00000178597.6",1,0,0,0,0,0,0,1
"ENSG00000178605.13",271,306,272,192,275,429,208,263
"ENSG00000178605.13_PAR_Y",272,305,272,193,274,430,208,264
"ENSG00000178607.15",357,328,480,247,374,443,407,458
"ENSG00000178623.11",12,11,24,9,28,22,14,17
"ENSG00000178631.7",1,0,6,1,4,3,3,4
"ENSG00000178636.8",4,12,14,7,6,15,7,15
"ENSG00000178645.12",1,1,2,1,2,2,0,0
"ENSG00000178654.11",0,0,2,0,0,1,0,0
"ENSG00000178662.15",53,26,80,16,44,23,56,20
"ENSG00000178665.14",42,29,59,19,36,33,32,27
"ENSG00000178685.13",680,456,565,264,425,509,512,417
"ENSG00000178690.2",7,4,6,3,10,7,5,6
"ENSG00000178691.10",759,561,948,571,1000,1065,712,684
"ENSG00000178694.9",125,99,144,73,140,162,126,94
"ENSG00000178695.5",4834,848,4880,422,5415,1409,4482,616
"ENSG00000178700.7",361,264,410,216,455,492,369,331
"ENSG00000178715.8",1,1,0,1,1,0,0,3
"ENSG00000178718.6",35,62,39,22,29,57,24,26
"ENSG00000178719.16",3278,3116,3879,2411,4529,5280,3289,3410
"ENSG00000178722.12",3,5,5,0,1,4,5,4
"ENSG00000178723.7",0,0,1,0,0,0,0,1
"ENSG00000178726.6",10,30,17,10,30,21,25,37
"ENSG00000178732.5",5,1,2,0,1,1,2,1
"ENSG00000178734.5",29,9,36,3,17,8,13,7
"ENSG00000178741.11",509,573,665,348,680,877,488,577
"ENSG00000178750.2",3,1,1,0,4,3,0,0
"ENSG00000178752.15",88,155,126,80,190,215,108,162
"ENSG00000178761.14",1065,1046,1205,792,1298,1548,921,1152
"ENSG00000178764.7",1005,706,1256,409,1044,750,1099,649
"ENSG00000178772.6",3,6,3,1,4,5,6,3
"ENSG00000178773.14",24,18,71,33,90,131,49,52
"ENSG00000178776.4",0,0,1,0,0,1,0,0
"ENSG00000178795.9",6,10,6,8,0,3,1,10
"ENSG00000178796.12",1,0,1,1,2,1,1,1
"ENSG00000178802.17",628,387,739,321,792,1099,547,429
"ENSG00000178803.10",11,11,11,6,7,11,15,6
"ENSG00000178809.11",46,62,61,29,90,125,51,47
"ENSG00000178814.16",165,157,182,117,173,322,133,186
"ENSG00000178821.12",2,4,3,1,2,4,3,2
"ENSG00000178826.10",1,2,7,3,4,1,2,2
"ENSG00000178852.15",59,61,49,35,65,72,57,83
"ENSG00000178860.8",872,900,584,216,876,936,592,462
"ENSG00000178878.12",96,26,84,29,129,108,53,16
"ENSG00000178882.14",2,0,2,0,0,1,1,0
"ENSG00000178896.8",124,114,157,78,164,172,119,99
"ENSG00000178904.18",963,840,924,569,1111,1563,795,839
"ENSG00000178913.7",1687,1500,2138,1359,2168,2564,1519,1624
"ENSG00000178917.15",62,29,46,11,60,57,37,43
"ENSG00000178919.8",4,1,0,0,294,446,10,9
"ENSG00000178921.13",351,267,261,125,280,477,251,204
"ENSG00000178922.16",182,140,226,86,270,241,165,173
"ENSG00000178927.17",1191,978,1315,622,1227,1369,940,896
"ENSG00000178928.8",1,1,1,0,1,0,0,0
"ENSG00000178934.4",0,1,1,0,0,0,0,0
"ENSG00000178935.5",55,46,41,44,39,59,49,48
"ENSG00000178947.8",17,6,7,4,4,5,12,9
"ENSG00000178950.16",1377,1367,1497,895,1609,2095,1219,1463
"ENSG00000178951.8",1149,1114,1352,893,1313,1664,1052,1457
"ENSG00000178952.10",2303,2272,2284,1286,2393,2815,1439,1700
"ENSG00000178965.13",0,1,0,0,0,1,1,1
"ENSG00000178966.16",156,113,163,91,146,178,141,129
"ENSG00000178971.13",215,169,312,156,288,401,242,281
"ENSG00000178974.9",407,338,430,201,445,434,353,353
"ENSG00000178977.3",14,24,26,17,46,13,35,45
"ENSG00000178980.14",633,781,865,529,903,1150,645,763
"ENSG00000178982.9",1651,1573,1809,936,1820,2085,1083,1077
"ENSG00000178988.10",982,774,1166,590,1203,1227,933,851
"ENSG00000178996.13",4140,2881,4426,2713,4634,6528,3969,4007
"ENSG00000178997.11",2,0,0,2,2,1,1,4
"ENSG00000178999.12",8,13,12,10,9,8,15,13
"ENSG00000179008.8",1,1,2,2,3,5,4,1
"ENSG00000179010.14",4094,3676,4553,2634,4711,5552,3939,3730
"ENSG00000179021.9",475,350,493,273,490,594,369,369
"ENSG00000179028.4",0,0,0,1,1,1,1,0
"ENSG00000179029.14",128,120,138,93,111,178,157,205
"ENSG00000179031.8",0,0,2,1,0,0,1,0
"ENSG00000179038.8",1,1,0,0,1,0,1,2
"ENSG00000179041.3",139,178,148,83,191,320,138,169
"ENSG00000179044.15",26,11,21,3,14,13,19,7
"ENSG00000179046.8",1,3,0,2,2,2,1,5
"ENSG00000179051.13",1386,1233,1666,1136,1712,1301,1163,1268
"ENSG00000179057.13",12,9,7,5,1,4,5,11
"ENSG00000179058.6",6,3,12,5,16,17,11,7
"ENSG00000179059.9",8,4,2,1,5,7,6,3
"ENSG00000179071.4",33,29,54,21,28,27,27,18
"ENSG00000179082.3",33,10,54,13,31,20,50,33
"ENSG00000179083.6",0,1,2,2,1,1,1,0
"ENSG00000179085.7",138,181,124,83,127,217,118,146
"ENSG00000179091.4",814,839,731,449,884,1084,557,608
"ENSG00000179094.15",180,1557,144,863,236,1727,124,1488
"ENSG00000179097.5",0,0,0,0,9,4,0,0
"ENSG00000179104.8",259,225,356,197,466,428,278,300
"ENSG00000179111.8",1,0,0,0,1,2,2,1
"ENSG00000179115.10",549,548,609,312,642,1051,457,498
"ENSG00000179119.14",564,504,776,489,743,1074,446,608
"ENSG00000179133.12",5,2,6,3,2,3,5,1
"ENSG00000179134.15",2472,2540,2604,1698,2718,3423,2159,3136
"ENSG00000179136.6",17,10,21,14,25,35,13,14
"ENSG00000179148.9",1,4,1,0,0,1,0,2
"ENSG00000179151.11",612,484,567,318,624,712,492,481
"ENSG00000179152.19",622,428,709,421,582,602,472,505
"ENSG00000179163.11",75,72,147,74,95,111,99,84
"ENSG00000179168.14",24,15,39,12,31,59,42,32
"ENSG00000179195.15",2125,1604,2451,1362,2803,2725,1888,1758
"ENSG00000179218.13",28754,21306,25894,11349,23423,38689,15973,11738
"ENSG00000179219.5",1,1,3,1,4,7,5,5
"ENSG00000179222.17",6828,3489,6970,2513,7066,5861,4685,3066
"ENSG00000179240.9",49,27,52,23,50,50,37,30
"ENSG00000179241.12",241,354,223,198,321,396,233,390
"ENSG00000179242.15",48,64,18,28,54,233,24,55
"ENSG00000179253.3",0,2,1,1,1,2,0,0
"ENSG00000179256.2",3,4,17,10,13,9,10,10
"ENSG00000179262.9",1143,1321,1501,940,1495,1869,1032,1322
"ENSG00000179270.6",0,1,4,0,0,0,2,0
"ENSG00000179271.2",596,631,789,428,666,1033,541,589
"ENSG00000179277.9",178,175,189,89,179,315,126,123
"ENSG00000179284.5",2,5,1,3,5,5,3,1
"ENSG00000179292.4",4,1,2,4,2,1,0,0
"ENSG00000179295.17",5853,7653,7178,5964,8920,13419,5619,8423
"ENSG00000179299.16",3,1,2,0,1,1,0,3
"ENSG00000179300.3",4,85,35,79,2,116,22,179
"ENSG00000179304.16",92,83,168,74,67,22,109,24
"ENSG00000179314.13",21,16,5,2,10,20,10,50
"ENSG00000179331.2",1,0,1,0,0,0,0,0
"ENSG00000179335.18",834,790,961,445,992,1183,719,736
"ENSG00000179342.4",0,0,0,1,1,2,1,0
"ENSG00000179348.11",256,217,188,94,120,126,349,302
"ENSG00000179361.17",65,61,79,35,78,111,54,72
"ENSG00000179362.14",8,4,10,6,9,9,9,8
"ENSG00000179363.6",3,3,2,0,0,3,2,4
"ENSG00000179364.13",1553,1464,1729,1041,1816,2348,1375,1594
"ENSG00000179387.9",747,667,881,617,833,1216,723,726
"ENSG00000179388.8",104,14,63,14,49,43,128,24
"ENSG00000179397.17",28,42,34,25,27,35,30,42
"ENSG00000179399.14",0,1,0,1,1,1,0,0
"ENSG00000179403.11",181,139,126,60,80,114,153,137
"ENSG00000179406.7",95,81,146,70,163,195,114,96
"ENSG00000179409.10",565,517,496,343,549,670,528,594
"ENSG00000179428.2",6,6,9,4,14,28,11,7
"ENSG00000179431.6",121,147,169,117,106,275,131,218
"ENSG00000179454.13",343,308,409,217,378,473,299,365
"ENSG00000179455.7",10,4,8,7,7,14,5,5
"ENSG00000179456.10",207,133,240,113,295,249,166,150
"ENSG00000179476.7",182,138,193,130,159,201,147,174
"ENSG00000179477.9",0,0,1,0,0,1,0,0
"ENSG00000179523.4",136,152,154,117,177,195,131,144
"ENSG00000179526.16",796,740,824,447,761,1038,658,727
"ENSG00000179528.15",17,10,15,3,12,12,26,19
"ENSG00000179532.12",223,163,321,166,282,345,252,235
"ENSG00000179542.15",18,6,0,5,4,9,2,2
"ENSG00000179546.4",3,2,3,0,4,2,3,0
"ENSG00000179562.2",614,512,712,404,639,813,589,532
"ENSG00000179564.3",1,1,2,0,1,1,0,0
"ENSG00000179577.3",1,1,3,1,1,2,0,0
"ENSG00000179580.9",0,0,0,0,0,2,0,0
"ENSG00000179583.18",38,22,39,25,57,39,36,18
"ENSG00000179588.8",125,88,99,56,115,120,110,71
"ENSG00000179593.15",1,84,1,89,0,134,1,215
"ENSG00000179598.5",47,24,59,26,45,50,39,41
"ENSG00000179604.9",1542,1132,1775,890,1322,1034,1317,1567
"ENSG00000179615.2",0,0,0,3,1,0,0,0
"ENSG00000179626.4",0,0,0,2,2,0,5,4
"ENSG00000179627.9",80,64,86,37,62,80,55,55
"ENSG00000179630.10",587,617,746,433,990,913,584,594
"ENSG00000179632.9",2027,2063,2380,1562,2316,3151,1804,2520
"ENSG00000179698.13",5,8,13,7,14,26,12,6
"ENSG00000179709.8",0,0,1,1,1,1,0,1
"ENSG00000179715.12",20,26,24,15,21,38,27,11
"ENSG00000179743.4",36,34,25,25,31,31,41,32
"ENSG00000179750.15",20,18,26,19,14,11,27,21
"ENSG00000179761.11",20,9,28,15,20,31,15,15
"ENSG00000179766.18",2,0,2,1,0,2,3,0
"ENSG00000179799.9",0,0,0,0,1,1,0,0
"ENSG00000179813.6",10,1,8,0,7,1,4,0
"ENSG00000179818.13",214,234,210,145,259,257,180,177
"ENSG00000179820.15",2500,5498,3538,5237,2441,12365,3161,7709
"ENSG00000179826.6",2,3,3,0,3,1,2,3
"ENSG00000179832.17",726,674,753,480,764,1091,610,907
"ENSG00000179833.4",1070,712,1026,549,1118,1152,1004,910
"ENSG00000179841.8",6,14,20,12,28,32,10,7
"ENSG00000179846.9",2,3,0,3,3,4,1,1
"ENSG00000179855.5",6,11,7,9,4,6,12,10
"ENSG00000179859.9",59,57,85,68,60,130,80,93
"ENSG00000179862.6",30,118,46,46,25,86,31,74
"ENSG00000179869.14",24,11,56,25,81,119,42,33
"ENSG00000179873.14",1,1,2,1,1,0,0,0
"ENSG00000179886.5",194,215,176,108,215,218,179,195
"ENSG00000179889.18",1645,1404,1552,889,2125,2071,1474,1312
"ENSG00000179899.8",142,86,212,92,199,184,128,131
"ENSG00000179902.12",0,0,1,0,2,1,2,1
"ENSG00000179909.15",225,121,285,100,417,347,245,159
"ENSG00000179912.20",1313,1106,1677,979,2059,1845,1257,1414
"ENSG00000179915.22",0,2,1,1,0,4,0,1
"ENSG00000179918.18",895,846,984,613,1002,1224,850,820
"ENSG00000179921.14",5,5,5,5,4,9,3,1
"ENSG00000179922.5",85,68,140,48,94,84,76,63
"ENSG00000179933.5",1145,1111,1346,829,1511,1690,1073,1098
"ENSG00000179935.9",31,27,30,17,24,20,24,20
"ENSG00000179938.12",6,7,13,1,9,15,10,3
"ENSG00000179941.6",594,569,749,525,610,944,553,776
"ENSG00000179943.7",202,165,187,106,212,231,154,142
"ENSG00000179950.13",1182,1099,1254,664,1276,1865,955,969
"ENSG00000179954.15",848,435,1613,669,1699,1317,2304,1956
"ENSG00000179958.8",162,154,124,84,168,228,134,126
"ENSG00000179965.11",139,152,124,62,115,147,129,120
"ENSG00000179967.11",2,0,0,2,7,0,0,0
"ENSG00000179978.11",74,29,120,47,144,93,41,31
"ENSG00000179981.9",743,490,1033,322,525,438,964,575
"ENSG00000179988.13",52,53,91,40,87,90,53,41
"ENSG00000180008.8",666,647,643,475,676,917,555,610
"ENSG00000180011.6",768,644,831,412,706,719,726,632
"ENSG00000180015.12",19,17,14,6,9,21,12,9
"ENSG00000180035.12",138,113,109,80,150,154,113,110
"ENSG00000180044.5",3,3,1,2,0,0,1,4
"ENSG00000180053.7",0,0,0,0,0,1,0,1
"ENSG00000180071.19",0,1,1,0,0,2,2,2
"ENSG00000180083.10",0,0,1,0,3,3,3,0
"ENSG00000180089.5",27,12,33,17,37,41,26,20
"ENSG00000180090.5",0,0,0,0,2,1,1,0
"ENSG00000180096.11",30,29,40,22,48,57,31,45
"ENSG00000180098.9",245,259,339,255,382,482,261,298
"ENSG00000180104.15",1065,923,1201,652,1329,1526,971,971
"ENSG00000180113.15",41,71,73,79,15,12,37,47
"ENSG00000180116.15",1,2,1,0,0,1,0,0
"ENSG00000180138.7",1,0,1,0,0,2,0,0
"ENSG00000180139.11",23,27,25,39,24,93,19,21
"ENSG00000180152.3",1,0,1,3,2,0,2,1
"ENSG00000180155.19",1867,1080,1823,773,807,757,1170,865
"ENSG00000180178.10",2,2,1,3,5,4,3,2
"ENSG00000180182.10",856,825,911,682,1019,1418,721,962
"ENSG00000180185.11",438,353,488,266,481,581,360,307
"ENSG00000180189.10",1,1,5,2,2,1,4,1
"ENSG00000180190.11",188,161,133,78,135,156,86,114
"ENSG00000180198.15",496,499,452,288,650,854,335,515
"ENSG00000180209.11",0,0,1,2,3,2,0,1
"ENSG00000180210.14",1,0,0,0,1,0,0,0
"ENSG00000180211.5",0,0,0,0,1,0,0,1
"ENSG00000180221.6",0,0,1,0,0,1,0,0
"ENSG00000180228.12",635,590,683,427,801,897,467,526
"ENSG00000180229.12",282,262,481,183,224,339,256,263
"ENSG00000180233.10",98,84,159,116,158,212,102,132
"ENSG00000180245.4",2,0,2,1,2,0,1,0
"ENSG00000180251.4",17,8,12,5,31,18,18,14
"ENSG00000180257.13",107,65,135,60,106,128,89,125
"ENSG00000180263.13",180,110,337,215,319,328,214,303
"ENSG00000180264.11",11,8,6,7,12,10,7,5
"ENSG00000180279.6",1,3,4,0,2,0,2,2
"ENSG00000180287.16",2,9,6,4,8,26,31,152
"ENSG00000180304.14",2286,1759,2535,1249,2501,2577,1849,1507
"ENSG00000180316.12",1,5,4,4,2,8,1,7
"ENSG00000180329.13",268,227,389,216,367,410,272,238
"ENSG00000180332.6",1,2,1,0,0,1,1,1
"ENSG00000180336.17",17,13,33,14,21,15,14,20
"ENSG00000180340.6",1121,1040,1387,907,1332,1511,1116,1445
"ENSG00000180346.3",104,117,185,95,247,337,122,131
"ENSG00000180347.13",2,1,1,1,2,3,1,0
"ENSG00000180353.10",4,4,1,1,2,2,4,5
"ENSG00000180354.15",1209,1363,1337,1215,1674,2096,1246,2038
"ENSG00000180357.9",1187,930,1390,808,1654,1877,1079,1358
"ENSG00000180370.10",1759,1533,1916,1302,2023,2639,1775,1817
"ENSG00000180376.16",233,217,318,203,385,390,262,263
"ENSG00000180385.8",14,18,32,9,26,30,17,15
"ENSG00000180398.11",5731,4832,6877,3906,8266,10149,5101,5856
"ENSG00000180422.3",21,24,8,7,11,22,10,21
"ENSG00000180423.4",50,55,67,36,75,95,47,46
"ENSG00000180425.11",52,40,87,49,76,72,55,50
"ENSG00000180432.5",1,1,3,4,4,7,4,12
"ENSG00000180438.15",7,7,5,2,6,3,2,2
"ENSG00000180447.6",1175,1449,2248,1158,1428,2726,1431,1420
"ENSG00000180448.10",297,305,461,255,318,388,231,220
"ENSG00000180458.2",9,10,8,1,9,10,5,3
"ENSG00000180475.4",0,0,2,1,0,4,0,0
"ENSG00000180479.13",81,47,95,41,95,109,78,59
"ENSG00000180481.10",9,8,30,9,26,20,24,12
"ENSG00000180488.14",415,443,555,481,515,828,418,620
"ENSG00000180509.11",6,24,29,24,19,33,9,8
"ENSG00000180525.11",17,23,30,32,11,131,11,17
"ENSG00000180530.10",1185,922,1179,682,1539,1799,1090,1116
"ENSG00000180532.10",0,2,3,1,0,1,1,0
"ENSG00000180535.3",0,0,0,1,0,1,0,0
"ENSG00000180537.12",96,121,46,48,184,256,142,185
"ENSG00000180539.7",1,3,4,3,8,3,3,3
"ENSG00000180543.4",680,549,671,349,612,716,499,493
