"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_23_P206759"	"1"	"0.738757"	"0.3491017"	"-4.61"	"0.20606567"	"IST1"	"IST1, ESCRT-III associated factor"
"A_23_P69326"	"1"	"0.738778"	"0.3490722"	"-4.61"	"0.17411916"	"CADPS"	"calcium dependent secretion activator"
"A_32_P73491"	"1"	"0.738784"	"0.3490642"	"-4.61"	"0.2892322"	""	""
"A_32_P206175"	"1"	"0.738821"	"-0.3490124"	"-4.61"	"-0.16062744"	""	""
"A_23_P317657"	"1"	"0.738848"	"0.3489739"	"-4.61"	"0.19156789"	"DDX3X"	"DEAD-box helicase 3, X-linked"
"A_23_P309930"	"1"	"0.738849"	"0.3489722"	"-4.61"	"0.15722727"	"AGBL1"	"ATP/GTP binding protein like 1"
"A_23_P111492"	"1"	"0.738869"	"0.3489447"	"-4.61"	"0.20694316"	"MOSPD3"	"motile sperm domain containing 3"
"A_24_P107208"	"1"	"0.738907"	"-0.3488907"	"-4.61"	"-0.21501267"	"CAPRIN1"	"cell cycle associated protein 1"
"A_23_P132438"	"1"	"0.738926"	"-0.3488644"	"-4.61"	"-0.17648787"	"MSL2"	"male-specific lethal 2 homolog (Drosophila)"
"A_24_P38895"	"1"	"0.738999"	"-0.3487625"	"-4.61"	"-0.2164064"	"H2AFX"	"H2A histone family member X"
"A_23_P109382"	"1"	"0.739015"	"-0.3487403"	"-4.61"	"-0.18942122"	"GSC2"	"goosecoid homeobox 2"
"A_23_P63010"	"1"	"0.739027"	"-0.3487237"	"-4.61"	"-0.16502003"	"CERS2"	"ceramide synthase 2"
"A_24_P611903"	"1"	"0.739029"	"0.3487203"	"-4.61"	"0.1646729"	""	""
"A_23_P338372"	"1"	"0.739045"	"-0.3486978"	"-4.61"	"-0.19020144"	"NR2E1"	"nuclear receptor subfamily 2 group E member 1"
"A_24_P715924"	"1"	"0.739059"	"-0.3486781"	"-4.61"	"-0.17583329"	""	""
"A_23_P388244"	"1"	"0.73906"	"0.3486773"	"-4.61"	"0.17089458"	"C22orf39"	"chromosome 22 open reading frame 39"
"A_32_P115446"	"1"	"0.739068"	"0.3486659"	"-4.61"	"0.16035933"	""	""
"A_32_P120120"	"1"	"0.739071"	"-0.3486622"	"-4.61"	"-0.33725558"	""	""
"A_32_P118675"	"1"	"0.739097"	"0.3486251"	"-4.61"	"0.39502434"	""	""
"A_32_P186157"	"1"	"0.739109"	"-0.3486086"	"-4.61"	"-0.23727782"	"LRRC27"	"leucine rich repeat containing 27"
"A_23_P5325"	"1"	"0.739167"	"-0.348527"	"-4.61"	"-0.15634496"	"ERCC3"	"ERCC excision repair 3, TFIIH core complex helicase subunit"
"A_24_P418809"	"1"	"0.73918"	"0.3485085"	"-4.61"	"0.18240882"	"GNAS"	"GNAS complex locus"
"A_32_P5040"	"1"	"0.739207"	"0.3484716"	"-4.61"	"0.20160724"	"NOTCH2NL"	"notch 2 N-terminal like"
"A_24_P375421"	"1"	"0.739211"	"-0.3484658"	"-4.61"	"-0.19184503"	"SNX22"	"sorting nexin 22"
"A_32_P119154"	"1"	"0.739247"	"-0.3484148"	"-4.61"	"-0.28228405"	""	""
"A_23_P82351"	"1"	"0.739254"	"-0.3484052"	"-4.61"	"-0.15797412"	"BBS9"	"Bardet-Biedl syndrome 9"
"A_24_P239689"	"1"	"0.739268"	"-0.3483853"	"-4.61"	"-0.21887966"	"SGTB"	"small glutamine rich tetratricopeptide repeat containing beta"
"A_23_P23611"	"1"	"0.73928"	"-0.348369"	"-4.61"	"-0.27773026"	"AMY1C"	"amylase, alpha 1C (salivary)"
"A_23_P2843"	"1"	"0.739302"	"-0.3483388"	"-4.61"	"-0.2221474"	"TMCO3"	"transmembrane and coiled-coil domains 3"
"A_24_P186030"	"1"	"0.739315"	"-0.3483199"	"-4.61"	"-0.17925841"	"PRKY"	"protein kinase, Y-linked, pseudogene"
"A_24_P21715"	"1"	"0.73933"	"0.3482995"	"-4.61"	"0.16594979"	"RAD9A"	"RAD9 checkpoint clamp component A"
"A_23_P150092"	"1"	"0.73934"	"0.3482847"	"-4.61"	"0.17866904"	"SEPHS1"	"selenophosphate synthetase 1"
"A_24_P513764"	"1"	"0.739351"	"0.3482692"	"-4.61"	"0.21234705"	""	""
"A_24_P96449"	"1"	"0.739417"	"0.3481773"	"-4.61"	"0.31038347"	"EMID1"	"EMI domain containing 1"
"A_23_P86632"	"1"	"0.739431"	"-0.3481582"	"-4.61"	"-0.1561065"	"DCLRE1C"	"DNA cross-link repair 1C"
"A_24_P257416"	"1"	"0.739437"	"-0.3481494"	"-4.61"	"-0.19706304"	"CXCL2"	"C-X-C motif chemokine ligand 2"
"A_23_P103837"	"1"	"0.739438"	"0.3481478"	"-4.61"	"0.15727062"	"UBAP2L"	"ubiquitin associated protein 2 like"
"A_32_P459242"	"1"	"0.739446"	"0.348136"	"-4.61"	"0.17322155"	""	""
"A_23_P144959"	"1"	"0.739483"	"-0.3480847"	"-4.61"	"-0.30238835"	"VCAN"	"versican"
"A_24_P199484"	"1"	"0.739492"	"0.3480725"	"-4.61"	"0.20304602"	"ANGPTL1"	"angiopoietin like 1"
"A_23_P158239"	"1"	"0.739505"	"-0.3480546"	"-4.61"	"-0.19424101"	"SHMT2"	"serine hydroxymethyltransferase 2"
"A_24_P460419"	"1"	"0.739552"	"-0.3479878"	"-4.61"	"-0.2231492"	"LRRC10B"	"leucine rich repeat containing 10B"
"A_24_P416595"	"1"	"0.739627"	"-0.3478834"	"-4.61"	"-0.18352223"	"ZNF575"	"zinc finger protein 575"
"A_23_P1117"	"1"	"0.739628"	"0.3478812"	"-4.61"	"0.17757715"	"ST7L"	"suppression of tumorigenicity 7 like"
"A_23_P68759"	"1"	"0.739667"	"-0.3478272"	"-4.61"	"-0.18583621"	"TFF1"	"trefoil factor 1"
"A_24_P794515"	"1"	"0.739706"	"-0.3477726"	"-4.61"	"-0.18169032"	"RAB30-AS1"	"RAB30 antisense RNA 1 (head to head)"
"A_32_P144220"	"1"	"0.739716"	"-0.3477591"	"-4.61"	"-0.15685194"	""	""
"A_24_P124831"	"1"	"0.739724"	"0.3477468"	"-4.61"	"0.23939497"	"FNTB"	"farnesyltransferase, CAAX box, beta"
"A_23_P138089"	"1"	"0.739735"	"0.3477319"	"-4.61"	"0.19618073"	"MPZ"	"myelin protein zero"
"A_23_P161156"	"1"	"0.739759"	"0.3476986"	"-4.61"	"0.15734587"	"ZNF438"	"zinc finger protein 438"
"A_23_P11224"	"1"	"0.739821"	"-0.3476124"	"-4.61"	"-0.16666877"	"MMGT1"	"membrane magnesium transporter 1"
"A_24_P194313"	"1"	"0.739869"	"-0.3475439"	"-4.61"	"-0.15798001"	"PAXBP1"	"PAX3 and PAX7 binding protein 1"
"A_23_P30411"	"1"	"0.739879"	"0.3475307"	"-4.61"	"0.16489029"	""	""
"A_23_P204782"	"1"	"0.739887"	"0.3475196"	"-4.61"	"0.25329407"	"MDM1"	"Mdm1 nuclear protein"
"A_23_P216949"	"1"	"0.739889"	"-0.3475168"	"-4.61"	"-0.15664579"	"PDCL"	"phosducin like"
"A_32_P56766"	"1"	"0.739904"	"-0.3474957"	"-4.61"	"-0.18117567"	"POM121L12"	"POM121 transmembrane nucleoporin like 12"
"A_23_P6481"	"1"	"0.73993"	"-0.347459"	"-4.61"	"-0.17202428"	"TNRC6B"	"trinucleotide repeat containing 6B"
"A_23_P100802"	"1"	"0.739935"	"-0.3474522"	"-4.61"	"-0.16000077"	"COA3"	"cytochrome c oxidase assembly factor 3"
"A_24_P116871"	"1"	"0.739941"	"0.3474434"	"-4.61"	"0.256615"	"TXNL4A"	"thioredoxin like 4A"
"A_23_P500353"	"1"	"0.73996"	"-0.347417"	"-4.61"	"-0.29688383"	"KCNN2"	"potassium calcium-activated channel subfamily N member 2"
"A_24_P213783"	"1"	"0.739966"	"-0.3474089"	"-4.61"	"-0.15792717"	"RPL31"	"ribosomal protein L31"
"A_24_P565080"	"1"	"0.739976"	"0.3473941"	"-4.61"	"0.20879962"	"SPTY2D1-AS1"	"SPTY2D1 antisense RNA 1"
"A_23_P20035"	"1"	"0.740012"	"-0.3473449"	"-4.61"	"-0.3277847"	"GPR146"	"G protein-coupled receptor 146"
"A_24_P41936"	"1"	"0.740059"	"-0.347278"	"-4.61"	"-0.18530631"	"CEP128"	"centrosomal protein 128"
"A_23_P145657"	"1"	"0.740081"	"0.3472472"	"-4.61"	"0.19419057"	"STAG3"	"stromal antigen 3"
"A_24_P357986"	"1"	"0.740094"	"-0.3472299"	"-4.61"	"-0.16196247"	""	""
"A_23_P12965"	"1"	"0.740115"	"-0.3472005"	"-4.61"	"-0.18859952"	"FUT4"	"fucosyltransferase 4"
"A_24_P535219"	"1"	"0.740126"	"-0.3471854"	"-4.61"	"-0.15653907"	"PHF10"	"PHD finger protein 10"
"A_24_P333716"	"1"	"0.740129"	"-0.347181"	"-4.61"	"-0.1575538"	"XPO4"	"exportin 4"
"A_23_P34897"	"1"	"0.740131"	"-0.3471779"	"-4.61"	"-0.21101221"	""	""
"A_23_P5610"	"1"	"0.740156"	"0.3471435"	"-4.61"	"0.17052892"	"DOK1"	"docking protein 1"
"A_24_P392863"	"1"	"0.740172"	"-0.3471209"	"-4.61"	"-0.18036938"	""	""
"A_23_P317683"	"1"	"0.740202"	"-0.3470783"	"-4.61"	"-0.17027484"	"TRAPPC10"	"trafficking protein particle complex 10"
"A_24_P872967"	"1"	"0.740209"	"0.3470691"	"-4.61"	"0.15826479"	""	""
"A_23_P145463"	"1"	"0.74021"	"0.3470673"	"-4.61"	"0.22938063"	"SLC35B3"	"solute carrier family 35 member B3"
"A_23_P355439"	"1"	"0.740219"	"-0.3470552"	"-4.61"	"-0.24940826"	"HIST1H2AA"	"histone cluster 1, H2aa"
"A_24_P11900"	"1"	"0.740245"	"-0.3470185"	"-4.61"	"-0.19409235"	"MYH15"	"myosin heavy chain 15"
"A_23_P3237"	"1"	"0.740258"	"-0.3470001"	"-4.61"	"-0.16360962"	"ELL3"	"elongation factor for RNA polymerase II 3"
"A_23_P124327"	"1"	"0.740264"	"0.3469917"	"-4.61"	"0.16241777"	"NSD1"	"nuclear receptor binding SET domain protein 1"
"A_23_P35576"	"1"	"0.740265"	"-0.34699"	"-4.61"	"-0.16849348"	"ZNF518A"	"zinc finger protein 518A"
"A_23_P214739"	"1"	"0.740269"	"-0.3469841"	"-4.61"	"-0.17154893"	"FBXL4"	"F-box and leucine rich repeat protein 4"
"A_32_P17882"	"1"	"0.740278"	"-0.3469722"	"-4.61"	"-0.29158821"	""	""
"A_32_P63630"	"1"	"0.740294"	"-0.3469494"	"-4.61"	"-0.18458158"	""	""
"A_24_P343377"	"1"	"0.740313"	"-0.3469226"	"-4.61"	"-0.17847061"	"ATP5J2"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit F2"
"A_32_P123652"	"1"	"0.740331"	"0.3468975"	"-4.61"	"0.30638339"	"TSPAN33"	"tetraspanin 33"
"A_32_P69849"	"1"	"0.740335"	"0.3468928"	"-4.61"	"0.19060914"	"BEX5"	"brain expressed X-linked 5"
"A_24_P209285"	"1"	"0.74035"	"-0.3468715"	"-4.61"	"-0.15649897"	"MRPS10"	"mitochondrial ribosomal protein S10"
"A_23_P216655"	"1"	"0.740382"	"0.3468263"	"-4.61"	"0.173348"	"TRIM14"	"tripartite motif containing 14"
"A_24_P384961"	"1"	"0.740425"	"0.3467669"	"-4.61"	"0.20553654"	""	""
"A_32_P11276"	"1"	"0.740457"	"-0.3467216"	"-4.61"	"-0.18442977"	""	""
"A_24_P330822"	"1"	"0.740473"	"-0.3466994"	"-4.61"	"-0.15572784"	"HNF1B"	"HNF1 homeobox B"
"A_24_P188941"	"1"	"0.740487"	"-0.3466801"	"-4.61"	"-0.20788667"	"NPM1"	"nucleophosmin"
"A_23_P12044"	"1"	"0.740489"	"-0.3466772"	"-4.61"	"-0.19697379"	"TMEM51"	"transmembrane protein 51"
"A_32_P113823"	"1"	"0.740491"	"0.3466742"	"-4.61"	"0.18543742"	""	""
"A_23_P9883"	"1"	"0.740494"	"0.34667"	"-4.61"	"0.37061977"	"NLRP3"	"NLR family pyrin domain containing 3"
"A_24_P50554"	"1"	"0.740525"	"-0.3466262"	"-4.61"	"-0.16442497"	""	""
"A_23_P73559"	"1"	"0.74054"	"0.3466049"	"-4.61"	"0.22887904"	"FGD1"	"FYVE, RhoGEF and PH domain containing 1"
"A_23_P124003"	"1"	"0.74057"	"0.3465634"	"-4.61"	"0.22670978"	"P2RX2"	"purinergic receptor P2X 2"
"A_24_P161463"	"1"	"0.740583"	"-0.3465457"	"-4.61"	"-0.17827467"	"ZFAS1"	"ZNFX1 antisense RNA 1"
"A_24_P803246"	"1"	"0.74062"	"-0.3464935"	"-4.61"	"-0.18115892"	""	""
"A_32_P127339"	"1"	"0.740637"	"-0.3464697"	"-4.61"	"-0.18531575"	""	""
"A_24_P22887"	"1"	"0.74064"	"0.3464659"	"-4.61"	"0.15701442"	"RAD23A"	"RAD23 homolog A, nucleotide excision repair protein"
"A_32_P179177"	"1"	"0.740641"	"0.3464648"	"-4.61"	"0.20023749"	"SYT15"	"synaptotagmin 15"
"A_32_P50264"	"1"	"0.740698"	"-0.346384"	"-4.61"	"-0.21772383"	""	""
"A_23_P51853"	"1"	"0.740708"	"-0.3463709"	"-4.61"	"-0.1702011"	"ZDHHC18"	"zinc finger DHHC-type containing 18"
"A_32_P19608"	"1"	"0.740727"	"0.3463436"	"-4.61"	"0.17385934"	"GNPDA2"	"glucosamine-6-phosphate deaminase 2"
"A_23_P431569"	"1"	"0.740728"	"0.346342"	"-4.61"	"0.20121233"	""	""
"A_24_P338603"	"1"	"0.740735"	"-0.3463328"	"-4.61"	"-0.29716511"	"SKI"	"SKI proto-oncogene"
"A_32_P231114"	"1"	"0.740744"	"-0.3463196"	"-4.61"	"-0.1905763"	""	""
"A_23_P42080"	"1"	"0.740755"	"-0.3463052"	"-4.61"	"-0.15544988"	"TMEM14A"	"transmembrane protein 14A"
"A_32_P127036"	"1"	"0.740764"	"-0.3462922"	"-4.61"	"-0.18607153"	""	""
"A_23_P136693"	"1"	"0.740799"	"-0.3462426"	"-4.61"	"-0.1638193"	"GNAQ"	"G protein subunit alpha q"
"A_24_P776523"	"1"	"0.740814"	"0.3462223"	"-4.61"	"0.21934825"	"BRCAT54"	"breast cancer-associated transcript 54"
"A_23_P8452"	"1"	"0.740825"	"-0.346207"	"-4.61"	"-0.2030433"	"LFNG"	"LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"A_23_P133284"	"1"	"0.740878"	"-0.3461327"	"-4.61"	"-0.15925793"	"RIOK2"	"RIO kinase 2"
"A_23_P107036"	"1"	"0.740958"	"0.3460212"	"-4.61"	"0.18118239"	"TMEM11"	"transmembrane protein 11"
"A_23_P120056"	"1"	"0.74098"	"0.34599"	"-4.61"	"0.15736621"	"RTKN"	"rhotekin"
"A_24_P153547"	"1"	"0.740998"	"0.3459641"	"-4.61"	"0.15858489"	"RPS6KL1"	"ribosomal protein S6 kinase like 1"
"A_24_P718503"	"1"	"0.740999"	"0.3459631"	"-4.61"	"0.15708969"	"LOC100130152"	"uncharacterized LOC100130152"
"A_32_P106864"	"1"	"0.741018"	"0.3459368"	"-4.61"	"0.16532425"	""	""
"A_23_P14543"	"1"	"0.741033"	"-0.3459157"	"-4.61"	"-0.19334949"	"ALKBH1"	"alkB homolog 1, histone H2A dioxygenase"
"A_24_P355246"	"1"	"0.741078"	"0.3458522"	"-4.61"	"0.19563299"	"PCSK5"	"proprotein convertase subtilisin/kexin type 5"
"A_23_P24716"	"1"	"0.741103"	"0.3458183"	"-4.61"	"0.1720838"	"TMEM132A"	"transmembrane protein 132A"
"A_23_P74799"	"1"	"0.741112"	"0.345805"	"-4.61"	"0.16787585"	"SLC25A24"	"solute carrier family 25 member 24"
"A_23_P104451"	"1"	"0.741117"	"-0.3457981"	"-4.61"	"-0.1616755"	"DDX50"	"DEAD-box helicase 50"
"A_24_P918364"	"1"	"0.741127"	"0.3457841"	"-4.61"	"0.18764968"	""	""
"A_24_P306443"	"1"	"0.741131"	"0.3457789"	"-4.61"	"0.19669032"	"LOC100233156"	"tektin 4 pseudogene"
"A_23_P204564"	"1"	"0.741159"	"-0.34574"	"-4.61"	"-0.15565629"	"PPP1R12A"	"protein phosphatase 1 regulatory subunit 12A"
"A_24_P941699"	"1"	"0.74116"	"0.3457379"	"-4.61"	"0.16691642"	"PCGF5"	"polycomb group ring finger 5"
"A_32_P36884"	"1"	"0.74118"	"-0.3457102"	"-4.61"	"-0.15683089"	""	""
"A_24_P521409"	"1"	"0.741185"	"-0.3457026"	"-4.61"	"-0.26361264"	"RPS6KB1"	"ribosomal protein S6 kinase B1"
"A_23_P213204"	"1"	"0.741187"	"-0.3457006"	"-4.61"	"-0.23976605"	"WHSC1"	"Wolf-Hirschhorn syndrome candidate 1"
"A_23_P315789"	"1"	"0.741266"	"-0.3455905"	"-4.61"	"-0.19017361"	"RFXAP"	"regulatory factor X associated protein"
"A_23_P210445"	"1"	"0.741274"	"-0.3455786"	"-4.61"	"-0.17937203"	"L3MBTL1"	"l(3)mbt-like 1 (Drosophila)"
"A_23_P74619"	"1"	"0.741316"	"0.3455196"	"-4.61"	"0.1675846"	"SELENBP1"	"selenium binding protein 1"
"A_23_P115118"	"1"	"0.741317"	"-0.3455191"	"-4.61"	"-0.16950595"	"BMP8B"	"bone morphogenetic protein 8b"
"A_23_P83045"	"1"	"0.741321"	"0.3455131"	"-4.61"	"0.16919428"	"VCP"	"valosin containing protein"
"A_23_P3979"	"1"	"0.74134"	"-0.3454865"	"-4.61"	"-0.16746663"	"MRPS7"	"mitochondrial ribosomal protein S7"
"A_24_P550893"	"1"	"0.741359"	"-0.3454602"	"-4.61"	"-0.18554657"	""	""
"A_23_P151610"	"1"	"0.741361"	"-0.3454568"	"-4.61"	"-0.16281223"	"PSME1"	"proteasome activator subunit 1"
"A_23_P23206"	"1"	"0.741379"	"0.3454314"	"-4.61"	"0.15714595"	"MAD2L2"	"MAD2 mitotic arrest deficient-like 2 (yeast)"
"A_23_P129246"	"1"	"0.741399"	"0.3454037"	"-4.61"	"0.26395647"	"PLEKHO2"	"pleckstrin homology domain containing O2"
"A_23_P26878"	"1"	"0.741429"	"0.3453625"	"-4.61"	"0.16687676"	"NDEL1"	"nudE neurodevelopment protein 1 like 1"
"A_23_P149695"	"1"	"0.74146"	"-0.3453189"	"-4.61"	"-0.1616172"	"ATP1A1-AS1"	"ATP1A1 antisense RNA 1"
"A_23_P4007"	"1"	"0.741461"	"0.3453175"	"-4.61"	"0.15546375"	"FXR2"	"FMR1 autosomal homolog 2"
"A_23_P72157"	"1"	"0.741484"	"0.3452857"	"-4.61"	"0.17081704"	"MFSD7"	"major facilitator superfamily domain containing 7"
"A_24_P253078"	"1"	"0.741486"	"0.345282"	"-4.61"	"0.15478297"	"METTL21B"	"methyltransferase like 21B"
"A_23_P146456"	"1"	"0.741491"	"0.3452747"	"-4.61"	"0.21931794"	"CTSV"	"cathepsin V"
"A_23_P24294"	"1"	"0.741527"	"-0.3452244"	"-4.61"	"-0.26669559"	"SLC17A6"	"solute carrier family 17 member 6"
"A_24_P333802"	"1"	"0.741617"	"0.3450989"	"-4.61"	"0.15792221"	"MAGT1"	"magnesium transporter 1"
"A_24_P237036"	"1"	"0.741643"	"0.3450626"	"-4.61"	"0.2065524"	"TNFSF14"	"tumor necrosis factor superfamily member 14"
"A_23_P432591"	"1"	"0.741643"	"-0.3450623"	"-4.61"	"-0.15914104"	"CCDC125"	"coiled-coil domain containing 125"
"A_23_P148737"	"1"	"0.741651"	"0.3450514"	"-4.61"	"0.15688331"	"MYBPH"	"myosin binding protein H"
"A_23_P159539"	"1"	"0.741673"	"0.3450205"	"-4.61"	"0.1574573"	"ASMTL"	"acetylserotonin O-methyltransferase-like"
"A_32_P14762"	"1"	"0.741702"	"-0.3449798"	"-4.61"	"-0.23128546"	"OOEP"	"oocyte expressed protein"
"A_23_P62335"	"1"	"0.741703"	"0.3449789"	"-4.61"	"0.1670928"	"TMLHE"	"trimethyllysine hydroxylase, epsilon"
"A_23_P116173"	"1"	"0.741703"	"0.3449784"	"-4.61"	"0.19105441"	"COLCA2"	"colorectal cancer associated 2"
"A_23_P364567"	"1"	"0.741708"	"-0.3449721"	"-4.61"	"-0.25856842"	"CLRN1"	"clarin 1"
"A_24_P548415"	"1"	"0.741787"	"-0.3448615"	"-4.61"	"-0.15694853"	"FGD5-AS1"	"FGD5 antisense RNA 1"
"A_32_P162076"	"1"	"0.741814"	"0.3448234"	"-4.61"	"0.18275682"	"HP1BP3"	"heterochromatin protein 1 binding protein 3"
"A_32_P111293"	"1"	"0.741863"	"0.3447544"	"-4.61"	"0.17737676"	"LOC101929412"	"uncharacterized LOC101929412"
"A_24_P931175"	"1"	"0.741933"	"0.3446569"	"-4.61"	"0.15476393"	""	""
"A_23_P151297"	"1"	"0.741937"	"0.3446512"	"-4.61"	"0.31423207"	"TNS2"	"tensin 2"
"A_23_P169766"	"1"	"0.741946"	"0.3446387"	"-4.61"	"0.17596532"	"HIPK2"	"homeodomain interacting protein kinase 2"
"A_23_P30884"	"1"	"0.741956"	"0.3446255"	"-4.61"	"0.15816454"	"CLIC1"	"chloride intracellular channel 1"
"A_32_P42964"	"1"	"0.741962"	"0.3446173"	"-4.61"	"0.20268816"	"NUPR2"	"nuclear protein 2, transcriptional regulator"
"A_23_P168288"	"1"	"0.741973"	"0.3446007"	"-4.61"	"0.18061264"	"IL22RA2"	"interleukin 22 receptor subunit alpha 2"
"A_23_P59481"	"1"	"0.742051"	"-0.3444924"	"-4.61"	"-0.15769288"	"UBE3C"	"ubiquitin protein ligase E3C"
"A_23_P51346"	"1"	"0.742097"	"-0.344428"	"-4.61"	"-0.15713551"	"KIAA2013"	"KIAA2013"
"A_24_P280497"	"1"	"0.742127"	"-0.3443861"	"-4.61"	"-0.16383385"	"FBRSL1"	"fibrosin like 1"
"A_23_P166969"	"1"	"0.742135"	"0.3443751"	"-4.61"	"0.30812323"	""	""
"A_32_P142363"	"1"	"0.742152"	"-0.3443516"	"-4.61"	"-0.33177003"	""	""
"A_23_P436526"	"1"	"0.742173"	"0.3443213"	"-4.61"	"0.21285015"	"SLC25A42"	"solute carrier family 25 member 42"
"A_23_P259801"	"1"	"0.742183"	"-0.3443082"	"-4.61"	"-0.27140793"	"NEK1"	"NIMA related kinase 1"
"A_23_P150950"	"1"	"0.742192"	"-0.3442957"	"-4.61"	"-0.15633631"	"ZFC3H1"	"zinc finger C3H1-type containing"
"A_24_P16730"	"1"	"0.742213"	"-0.3442662"	"-4.61"	"-0.22225656"	"LNPK"	"lunapark, ER junction formation factor"
"A_24_P404953"	"1"	"0.742231"	"-0.3442408"	"-4.61"	"-0.15659247"	"RBMXL1"	"RNA binding motif protein, X-linked like 1"
"A_23_P41553"	"1"	"0.742256"	"0.3442052"	"-4.61"	"0.18560778"	""	""
"A_24_P195327"	"1"	"0.74226"	"-0.3441995"	"-4.61"	"-0.1630383"	""	""
"A_23_P99853"	"1"	"0.742318"	"-0.3441191"	"-4.61"	"-0.1873159"	"FAM214A"	"family with sequence similarity 214 member A"
"A_23_P157600"	"1"	"0.742358"	"-0.3440629"	"-4.61"	"-0.15864298"	"DDHD2"	"DDHD domain containing 2"
"A_32_P61074"	"1"	"0.742384"	"-0.3440265"	"-4.61"	"-0.1748495"	""	""
"A_23_P131614"	"1"	"0.742395"	"0.3440116"	"-4.61"	"0.15726398"	"COL6A3"	"collagen type VI alpha 3 chain"
"A_32_P114860"	"1"	"0.742395"	"-0.3440112"	"-4.61"	"-0.16929132"	""	""
"A_23_P350295"	"1"	"0.742412"	"0.343987"	"-4.61"	"0.15795997"	""	""
"A_23_P148584"	"1"	"0.742428"	"0.3439652"	"-4.61"	"0.25933295"	"DOCK11"	"dedicator of cytokinesis 11"
"A_23_P127533"	"1"	"0.742468"	"0.3439089"	"-4.61"	"0.15495167"	"DCUN1D5"	"defective in cullin neddylation 1 domain containing 5"
"A_32_P159884"	"1"	"0.742486"	"0.3438841"	"-4.61"	"0.20260893"	""	""
"A_23_P159476"	"1"	"0.742507"	"0.3438553"	"-4.61"	"0.1736687"	"SSNA1"	"SS nuclear autoantigen 1"
"A_23_P127613"	"1"	"0.742512"	"0.3438472"	"-4.61"	"0.20981875"	"TRAPPC4"	"trafficking protein particle complex 4"
"A_24_P302998"	"1"	"0.742521"	"0.3438352"	"-4.61"	"0.16458284"	"ATP5I"	"ATP synthase, H+ transporting, mitochondrial Fo complex subunit E"
"A_24_P213487"	"1"	"0.742522"	"0.3438335"	"-4.61"	"0.15773771"	"BOLA2-SMG1P6"	"BOLA2-SMG1P6 readthrough"
"A_24_P342316"	"1"	"0.742524"	"-0.3438316"	"-4.61"	"-0.15693667"	"FRYL"	"FRY like transcription coactivator"
"A_23_P375524"	"1"	"0.74253"	"-0.3438227"	"-4.61"	"-0.16015818"	"LCE1D"	"late cornified envelope 1D"
"A_24_P148503"	"1"	"0.742567"	"0.3437711"	"-4.61"	"0.22027205"	"FZD5"	"frizzled class receptor 5"
"A_24_P882345"	"1"	"0.742592"	"-0.3437365"	"-4.61"	"-0.18241189"	""	""
"A_23_P428080"	"1"	"0.742656"	"0.3436469"	"-4.61"	"0.31014215"	""	""
"A_23_P8269"	"1"	"0.742666"	"-0.3436328"	"-4.61"	"-0.19352664"	"TAAR8"	"trace amine associated receptor 8"
"A_23_P108303"	"1"	"0.742678"	"0.3436166"	"-4.61"	"0.16712225"	"NDUFA7"	"NADH:ubiquinone oxidoreductase subunit A7"
"A_23_P80129"	"1"	"0.742703"	"-0.3435814"	"-4.61"	"-0.19497966"	"RRP1"	"ribosomal RNA processing 1"
"A_24_P221660"	"1"	"0.74272"	"-0.3435576"	"-4.61"	"-0.18403198"	"ZBTB41"	"zinc finger and BTB domain containing 41"
"A_23_P208870"	"1"	"0.742722"	"0.3435545"	"-4.61"	"0.16185477"	"AKT2"	"AKT serine/threonine kinase 2"
"A_23_P319153"	"1"	"0.742731"	"0.3435419"	"-4.61"	"0.18912364"	"NADSYN1"	"NAD synthetase 1"
"A_32_P53433"	"1"	"0.742735"	"0.3435363"	"-4.61"	"0.17086803"	""	""
"A_32_P148322"	"1"	"0.742743"	"-0.3435248"	"-4.61"	"-0.18444886"	"CDH6"	"cadherin 6"
"A_24_P347488"	"1"	"0.742745"	"-0.3435217"	"-4.61"	"-0.15829562"	"PSMC1"	"proteasome 26S subunit, ATPase 1"
"A_23_P130836"	"1"	"0.742789"	"-0.3434608"	"-4.61"	"-0.18014715"	"GZMM"	"granzyme M"
"A_23_P336644"	"1"	"0.742795"	"-0.3434526"	"-4.61"	"-0.16660192"	"TOR1AIP2"	"torsin 1A interacting protein 2"
"A_32_P89827"	"1"	"0.742802"	"0.3434427"	"-4.61"	"0.2404659"	"TPTE2P6"	"transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6"
"A_32_P4626"	"1"	"0.742804"	"0.3434394"	"-4.61"	"0.2289798"	""	""
"A_23_P146830"	"1"	"0.742813"	"0.3434271"	"-4.61"	"0.17111927"	"SLC25A10"	"solute carrier family 25 member 10"
"A_24_P58549"	"1"	"0.742815"	"0.3434239"	"-4.61"	"0.24595567"	"ZNF273"	"zinc finger protein 273"
"A_23_P332871"	"1"	"0.742873"	"-0.3433438"	"-4.61"	"-0.18436112"	"DTD2"	"D-tyrosyl-tRNA deacylase 2 (putative)"
"A_32_P725839"	"1"	"0.742904"	"0.3433003"	"-4.61"	"0.22764355"	""	""
